name,album,album_id,artist,artist_id,id,popularity,duration_ms,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
It Must Be True Love,Trojan Lovers Collection,1nmApsog19BD430O3mPzXm,Toots & The Maytals,6ZFv3wQwwWPiVDWhv0mjQK,4fs7A0HgWe9guaNh3jPBFz,9,204213,0.114,0.938,1,0.308,9,0.873,-13.384,0.388,0.0044,0.346,120.319
Iron Lion Zion,Gold,3Nvfpup2KU1NjD4uVEbxzz,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,7jzdw79XZtbF2HcX4ofHge,14,193586,0.0403,0.779,0,0.197,6,0.715,-7.912,0.0113,0.00058,0.598,142.386
Grateful,Grateful,5tU3ADncFHfdDScnuzWTXa,Agent Sasco (Assassin),0CiLVKp7LJTm0c8jdUmQNy,1wslSV8ppr83jS3fWHHYQT,46,273792,0.2,0.6,0,0.575,5,0.748,-4.423,0.324,0.0,0.712,89.985
Blessings,Blessings,6YvdsRy3lNHkjwK7L4ojMi,Angel,6RIJu05yhEIYskbVgxmk3R,28XBIzpPzfgXwrno4B8U1f,60,188935,0.0284,0.677,1,0.129,0,0.603,-5.041,0.701,0.0,0.555,96.498
Good Cry,Good Cry (feat. Chaka Demus) - Single,30mfOyJgWxKJ4PsKAstPtK,J Boog,7oEWmZ9dKlAVxTgmjUbYr4,5kPU4yatCGNrN88ISX6QeG,45,221666,0.272,0.832,1,0.299,7,0.81,-4.494,0.139,0.0,0.772,89.913
The Sound Of Sunshine,The Sound Of Sunshine,6n3RWQarUS9N542RErAIgy,Michael Franti & Spearhead,1mHuZMOP8FG5ip4yAb1vrB,6iBWazas8QsDtBnjlXkrXk,56,225133,0.0553,0.704,1,0.269,10,0.673,-4.886,0.0164,0.0145,0.902,97.007
True To Myself,Dragonfly,62Ot058LfUzRFxbramAggQ,Ziggy Marley,0o0rlxlC3ApLWsxFkUjMXc,5N0lcnJTtKj4wNDvurHige,65,225600,0.0498,0.83,1,0.0565,1,0.88,-6.431,0.0796,0.0,0.564,99.019
I Can See Clearly Now,We All Are One: The Best Of Jimmy Cliff,0g0F1l0hQ1nZTelBbmlmB5,Jimmy Cliff,3rJ3m1tM6vUgiWLjfV8sRf,7aJZxI6TVdIvQSuWxQ4rqp,67,195326,0.0347,0.717,1,0.0484,7,0.799,-8.585,0.00482,0.000505,0.662,120.082
Jah Is There,Dread & Terrible Project - 5th Anniversary (Deluxe Edition),3T5KaIlXqSnWUlnM99mOjv,Chronixx,2oZcMYiKpjaA2Et5mU3RPP,05aGKJ2UcIjF9DetAnU0qF,45,257194,0.059,0.466,0,0.148,5,0.525,-6.683,0.45,4.39e-06,0.712,86.187
Pressure Drop,Reggae Greats - Toots & The Maytals,3XeZ3oRelxBvhhHzfzlRMj,Toots & The Maytals,6ZFv3wQwwWPiVDWhv0mjQK,7cfILJJHW9ZSkbM2ywLhiN,49,174960,0.0432,0.985,1,0.0286,8,0.658,-11.972,0.106,0.0,0.571,148.964
Sunday Morning,Strictly Roots,2wF68GbQuZQxui1sOq385l,Morgan Heritage,3VV18HyGcfLTqNjSjbROA1,3gonK3rQEsWNMyETqnOyxl,47,236880,0.0316,0.714,1,0.243,8,0.83,-3.574,0.114,0.0,0.834,117.998
One Love,Marley OST,3GNhjIdkd87lLc19w2L1jS,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,7cRTzS9N5Mn25ZZkzmp6Uy,12,172813,0.335,0.926,1,0.0432,10,0.715,-8.807,0.0349,0.0,0.543,76.55
(You Gotta Walk) Don't Look Back - 2002 Remaster,Bush Doctor,0K9oJKr8cOfWfdT33y3L9b,Peter Tosh,0oea1hwGMfUxZbLxJc1XUN,2vDUqLZsaEEYmREcRo9gnn,54,320280,0.0608,0.812,1,0.0791,7,0.786,-4.951,0.452,0.0477,0.784,91.053
100 % of Loving,Stay Forever,0pjXDUaw0Fwj98Eym7g8vh,Marcia Griffiths,4qLV9FR6ZVLS6W8drD78hM,4WWf5b0a4CAhJKYz4j2qlq,2,207367,0.299,0.575,1,0.121,0,0.572,-6.325,0.0547,0.0,0.59,80.873
Hills And Valleys,Inna Heights,37Pe85NIhAwMFKmG8MjRlE,Buju Banton,4wLAjfeqAsV66AocWNcowA,2H4M3lyO2rJFQw33idCk1X,56,273040,0.162,0.742,1,0.0937,3,0.687,-8.642,0.477,0.0,0.544,72.082
Weekend's Long,Ziggy Marley,7aARyzi7tvFBVCJNlXKIdi,Ziggy Marley,0o0rlxlC3ApLWsxFkUjMXc,2wesMl2czkDPZ4iE6X8WPC,4,267306,0.0354,0.867,1,0.0714,0,0.582,-3.676,0.0424,0.0,0.711,179.067
Nuthin' Wrong With The World,Red Pond,1XwBljUyu0pat4PXNsgRZT,Junior Kelly,20aXKBdnVocEWJQjDyddN9,4HWhdjFpP7Ki6GdpAmIfxK,43,251506,0.246,0.931,0,0.465,11,0.699,-4.027,0.172,0.0,0.82,146.955
In My Arms,"One Love, One Life",6Zx65ILksaqErTeClBiVl1,Beres Hammond,2ruMkdO4e1tJWDHsYSEtxr,6lWwV7yfTJH0sPMqd1lpfq,46,224653,0.127,0.849,1,0.286,8,0.682,-4.363,0.323,0.0,0.872,75.983
Firehouse Rock,The Very Best Of The Wailing Souls,35JVHz9f0H9oIzSYNW7BAC,Wailing Souls,2ffhJMXvdEJFZISX76ccQL,2aEo5sPcclxVbA2vXFBi9M,46,253866,0.0536,0.906,1,0.159,9,0.814,-13.455,0.2,0.00253,0.407,130.355
Still Blazing,Soul Pirate,3hhWPRjFBsNYm3v3nbOqQC,Alborosie,78u1jLVBjPSXQVmHBV43yG,3sbBOn0ifcgoX3MfaTeFKr,58,230573,0.269,0.821,0,0.0886,6,0.749,-5.415,0.0159,2.02e-06,0.704,145.618
Bridge You Burn,It All Comes Back To Love,2oCao2K2hyaaC2IUKGqHjt,Maxi Priest,3aTuTR5Nf6pVW3837q2ZL7,2foT5sO6PbVTvpdMlauf1p,44,217861,0.24,0.673,0,0.138,5,0.676,-6.666,0.0836,0.0,0.723,173.961
Suco de Cajá - Ao vivo,Guerreiros e Poetas,2ZEGSy0p5MZ1mae9vOutBm,David Ávila,0EnMKGeratNpKBbQ3wQ3gj,7y1gxohJHUxKJ3QOS8vXNH,41,277106,0.03,0.813,1,0.299,2,0.682,-7.061,0.582,3.76e-05,0.621,134.129
Problema Grave,Problema Grave,7Kldi6mp2eIef4mJa58OKZ,Orgânico,5UOOgRWguRmVZo1voJuQpf,168u8cyMijxqyDYME6PyNN,45,229875,0.0712,0.82,0,0.0968,4,0.797,-4.559,0.136,0.0,0.688,120.063
Coma Profundo,Coma Profundo,7nmweAUGW560QkJJ9xcmDb,Amanajé Sound System,2ruPCAhqlVx3qKLssP4WG0,1xAthk0Ts63NC6bVmouUXr,34,200547,0.251,0.697,1,0.0886,7,0.8,-8.424,0.511,0.0,0.562,146.049
Dançar,Dançar,3V5bcXCji2raV1DLVf7DL0,PEU,6kpPbpC43H8QLZkwN6D19f,2GSsBEHlkar5B10MHELTz2,37,156970,0.0376,0.757,1,0.217,11,0.803,-8.45,0.0482,0.0,0.505,99.993
Me Neguei,Me Neguei,4UOJ01jIJbf54VzAgfbG45,Jah Dartanhan,73GeX7KjKwiPI3Qq3YWlsL,3i0kP7WC8cBXEZCAtRIwwC,32,240187,0.0415,0.69,0,0.224,0,0.76,-7.012,0.137,1.99e-06,0.721,142.015
Semear,Semear,0dwxsyHT9U0k2jQ25SYN4J,Tay Galega,60aybzygrfnsZwUH67fnFU,4QVw59tJWBXQRUkBCLqARP,35,206632,0.0397,0.62,0,0.126,7,0.86,-9.053,0.375,0.00253,0.505,97.967
Quero Colo,Quero Colo,2CAuvedbVaKQSD0bq2Y4go,Manash,4kqPOFNe2NVb9vrxLumvUd,4VkaNOuMzKXJ1ci9BQ5GxC,39,200845,0.0624,0.614,1,0.101,4,0.878,-8.622,0.0721,1.66e-05,0.435,136.013
Natural,Natural,2s5XTVuGFhCA9XHUPSZ0vm,Nova Raiz,2vHkGEiC88iv05O1D56MTi,4tXXe5EVALM6H9icpphwjS,35,265708,0.139,0.619,0,0.18,11,0.645,-6.664,0.24,0.0,0.814,83.966
O Canto do Engenho - Live Session,O Canto do Engenho (Live Session),5N1JWu74fPRXFWwvdshJsk,Delon,12pOytV7eNAUD3cptHNyT6,5hmxv6NRpbANQujIt1CMi6,37,207132,0.0807,0.895,0,0.0901,1,0.703,-6.796,0.227,3.04e-06,0.85,76.303
Femina Ganja,Femina Ganja,1fr8HOC3KqKNFSoJ10TfvN,Feminine Hi Fi,08laIjxw0UPPV3goCP6BIT,6B7OE8O3DQWgzWY2fQMAVD,37,268281,0.24,0.811,1,0.652,7,0.777,-9.036,0.000862,0.000501,0.595,160.031
Um Pouco de Cada,Um Pouco de Cada,05tP1T9dVZvnpfDFnZPovu,Cultivo,2NiBo2uhaaa7fVaJG8MKRQ,6drnXNdSmB8d8ZzPGSMmvs,32,331279,0.0722,0.845,0,0.17,11,0.79,-6.079,0.591,0.0,0.529,117.421
Margaridas,Margaridas,2E9kgR4so5tdDzRJQB0h2j,Congah,7hf3cn39l9zkBPYRGD35lj,79g09SF3QdyLudGEEi4Sie,36,215581,0.0526,0.606,1,0.181,7,0.714,-13.837,0.221,4.04e-06,0.459,176.058
Lá Na Frente,188,0DJ4eXl9DPgHGaupwLQVa8,Fly,3EBdRSdPBWmqkJUx9DEPY7,2hLdVACG8rmfWbBNOI61E5,39,168000,0.198,0.798,1,0.157,5,0.723,-9.115,0.371,0.0,0.433,129.779
Reggae Bom,Coisas da Geração,0FaC1N7xoN4Bloe1R1U42k,Lagum,5D56dZmhE9DgT01XixdHiD,6BfpjrOHrbe7K1z9uDI2yG,60,168160,0.0745,0.557,1,0.197,8,0.669,-9.878,0.417,0.0,0.514,67.006
Amar Novamente / Sentimento Bom - Ao Vivo,"Filosofia Reggae no Estúdio Showlivre, Vol. 2 (Ao Vivo)",35xpeUGEWQrF3mOjZjoOio,Filosofia Reggae,3UuKVWKt06WkHABc5arEXD,20N6Lja7jJaJmj6D6HaSHs,39,520895,0.0369,0.734,1,0.618,9,0.522,-5.316,0.421,7.71e-06,0.699,129.11
Lavanda,Lavanda,4uL2rXK2yHhKwhkGP8hTS4,Dada Yute,4mZqYlVhIZJnJtbF39kDjj,0x67bEmDm7ju91IYTu0a8l,45,178758,0.044,0.807,0,0.179,8,0.701,-3.127,0.331,0.0,0.737,145.034
Amor Entre Versos,Amor Entre Versos,3yGheXHRItmVjssv4xUbCl,Vibrações,7BVAEbZsvTJ5ZGH87anDtT,55xhzwy0sOCoZ2QpZfS6DP,40,223506,0.0364,0.469,0,0.452,11,0.701,-6.914,0.0971,0.0,0.531,139.882
Fruto da Semente,Fruto da Semente,1E2L8DbuDLNYI5jaQ7S86I,Planta E Raiz,5fKHm5RVUWIIirTGZlwGeO,6HEhFLSOZlPIP1DFRJ9GOZ,47,183699,0.14,0.819,0,0.136,11,0.906,-5.784,0.354,0.0,0.673,126.065
Acidentalmente,Quimera,2s6Xis30Leau0FHqOgpWl4,Adonai,1PcD8HGOQMEGvnCCHnPcZN,7pIbJiddCmItm0ksiuITj6,46,273411,0.106,0.377,0,0.192,4,0.743,-6.535,0.373,0.0,0.621,133.969
This Is America,This Is America,7arx9qPJexCsDz67El4qvk,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,0b9oOr2ZgvyQu88wzixux9,77,225773,0.137,0.549,1,0.354,5,0.854,-6.159,0.117,0.0,0.463,120.024
Everything (feat. Jacquees & Dreezy),Everything (feat. Jacquees & Dreezy),53YXHkLgWCljdExhAVmB7p,Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,0ophOpneT0tyzBeeKchDBH,50,268864,0.173,0.491,0,0.159,1,0.745,-7.233,0.0239,0.0,0.779,115.017
Not the One (feat. Kemba),Not the One (feat. Kemba),2UL2OwKSeq7u8IOwvaax6o,Cole King,5kl6Da3ZBmsIVtD7LNQh4l,1Nuun9B54ItTULE6yYE8Ix,47,247000,0.321,0.772,1,0.169,2,0.521,-10.758,0.871,0.000481,0.482,90.012
Something Foreign (feat. ScHoolboy Q),Something Foreign (feat. ScHoolboy Q),0Ffd7XCBBWcFHGgG3dtaes,SiR,3QTDHixorJelOLxoxcjqGx,49FPqdT0kmE3KWGlDmSjQp,53,152531,0.296,0.563,0,0.0856,10,0.585,-6.736,0.639,0.0,0.621,107.991
Lost & Found,Lost & Found,3AlSuZnX4ZCab8eoWnnfbm,Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,6jaLFu5HvfNrI1JmcM4eXu,63,314433,0.108,0.325,1,0.105,0,0.653,-9.203,0.243,0.0027,0.5,76.041
Grey Luh,Grey Luh,3dmDNIOUr2mCXvLGMOzbBq,Berhana,0WjtdWS6su0f3jrW9aqEHl,6uMGv8kpC8ChMP1UpM1aVn,7,261102,0.0683,0.254,1,0.0804,0,0.543,-9.167,0.597,1.49e-06,0.298,125.523
Story,Analogue,1SgtXskC74No0x9a9iDlfw,ODIE,5aMIbwZQvP2MHPMVC5zCGj,4bsk2DaGmyhLhCeSXxmDuX,57,193201,0.0952,0.826,0,0.153,4,0.754,-12.631,0.482,6.73e-05,0.367,86.989
Everyday,Lucy Pearl,5cT0D5QzJo8coTaeT4OynR,Lucy Pearl,0OUXTnqjvTg4iZ7Lhq6vv7,3EoW3WFVterpG1cTPUvoQC,52,240466,0.261,0.881,0,0.0912,8,0.74,-4.873,0.152,0.0,0.644,81.741
Father Issues,FATHER,509haKNEUFTttgMLBM5c58,AUGUST 08,2iB8eFB6flwQculkUrRssi,0ZL6asI6sjzaRew8KnWCA3,7,230001,0.142,0.237,1,0.0916,2,0.886,-11.722,0.138,0.00555,0.731,120.96
Diddy Bop (x Louis The Child),Fifty Shades Freed (Original Motion Picture Soundtrack),4w0N1CaZwQ5RPIuawqlYyy,Jacob Banks,0AepkoQhYvkjEzzwIcGxdV,2KZybiXVEQExXm2vtAcP8f,60,219626,0.102,0.28,1,0.114,6,0.69,-4.812,0.417,0.0011,0.466,81.935
Energy (Stay Far Away),Energy (Stay Far Away),6c2FMAZeFKi8pui6dlZqXB,Skepta,2p1fiYHYiXz9qi0JJyxBzN,11RIJRbBfyLlJut96itSFd,71,199521,0.311,0.603,0,0.088,8,0.836,-4.543,0.345,9.86e-05,0.614,101.97
Starchild,Starchild,7iwJkBY3UXXZfOz84luBfp,Elujay,1CgbNAF3Stnz1Tpipu3xdO,13Gt4A1ZbYkZbfdQsjKGR6,56,190152,0.232,0.494,0,0.0881,10,0.503,-6.545,0.125,0.00014,0.615,82.533
All Blue,All Blue,4zkXbfGHKutHZ4Nh8awoC7,Jade Novah,7HvZ0wFF6TW2kxX8AVVY3K,1awqxiL5cBBk7uFljsrZEm,47,219812,0.155,0.385,0,0.28,10,0.505,-4.326,0.0319,0.0,0.814,186.346
Voodoo,Voodoo,0BuddYL6T0mKQGRs20yIZq,Patrick Paige II,3rTMj1pmRvXBfzAEIk9XX9,1dNn4yHdCYJO8ILH43GfUF,52,222079,0.0496,0.682,1,0.188,1,0.598,-7.733,0.18,0.0343,0.554,78.016
How Does It Feel?,How Does It Feel?,22fNycAZURrMA3dSvUYbRL,Samm Henshaw,1Q2mS59tFYLm2KGFoCgWN4,2SKJGLadQUiBsnBd8OeOLd,9,190877,0.156,0.599,1,0.281,0,0.613,-6.049,0.1,0.0,0.669,80.033
Talk Is Cheap,Talk Is Cheap,6soupl8lr0HZcGvHy8NIfv,JMSN,6HCkJzbswOIc7Qc5TJ1n5l,2yiagVAREGcWD9LmOcQMLB,51,257597,0.0827,0.478,0,0.654,7,0.625,-5.861,0.0207,0.0,0.646,154.977
Intentions,Intentions,29MVqIjGNuKXISJunfFUDx,Terrace Martin Presents The Pollyseeds,5FX9U5mxQwpO3TXF0OGadm,359cwCVmbZLtssAf7MPhrG,7,239851,0.0494,0.592,0,0.131,5,0.776,-12.942,0.107,0.428,0.415,103.003
Grace,Grace,4THpDYXZbqfMLYnQvoPs1t,RIMON,4DtUsfaVQBhypuwYmobdSm,3JLzTwLuKBTcxrua5PeLfV,9,205714,0.141,0.668,0,0.105,5,0.745,-9.244,0.211,0.0,0.521,98.036
I Like That,I Like That,7f9YpRlnlfhCkCETY5UkMB,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,4CoM21pk8SxQh4L7ijqhRu,50,200338,0.059,0.17,1,0.149,0,0.482,-8.864,0.0323,0.00243,0.453,134.799
Blank Marquee,Blank Marquee,5d2TPnMOde0tUIfzDZwAcr,Yuna,3kHVioJpVxlazAAKQ64pC1,4Ipmi2u1eQ45RaYk4Rl512,56,220773,0.058,0.889,1,0.15,9,0.849,-6.054,0.404,0.000213,0.77,113.324
There You Are,There You Are,2xa3bLVRw25DZ9mC25r8la,WATCH THE DUCK,5pHc8cGF3alNcHJUx7bcaq,6BHoCtGKYkUBQp4FP7mBcE,8,224984,0.0728,0.736,1,0.0924,8,0.441,-5.991,0.0587,6.1e-05,0.707,161.94
Lost in Paris,Lost in Paris,3OGqx2jmVKVkKOIOxGjOQC,Tom Misch,1uiEZYehlNivdK3iQyAbye,6lxcWIvMQK3yezxwFfZcKZ,57,194023,0.0597,0.802,0,0.0838,1,0.788,-7.811,0.364,2.07e-05,0.711,104.149
Come Over,Come Over,6upYXH08wD6A2KIEjWCVel,The Internet,7GN9PivdemQRKjDt4z5Zv8,70Tf2nUzVd9UfyJHwM5lic,51,321920,0.188,0.691,0,0.129,5,0.525,-7.954,0.0918,0.206,0.603,92.032
Summer Time (Fea. Kill Nigel),Summer Time (Fea. Kill Nigel),2yAl3qL92AJPHPMescwk22,Tish Hyman,6WzffCtFJ1iDsAwEV35h6K,7ecdmyXHyPCVpgti9TvXXX,50,202501,0.0469,0.666,1,0.0949,2,0.843,-4.467,0.223,4.78e-06,0.676,122.002
Bad Bad News,Bet Ain't Worth the Hand / Bad Bad News,7Csuf8rJjBOP4GK11pPCw7,Leon Bridges,3qnGvpP8Yth1AqSBMqON5x,5CDrDzan4wRW3Dj4LD6meH,58,207306,0.0647,0.693,0,0.0881,5,0.781,-6.152,0.229,0.000536,0.629,111.975
Hurry,K.T.S.E.,0mwf6u9KVhZDCNVyIi6JuU,Teyana Taylor,4ULO7IGI3M2bo0Ap7B9h8a,6NqbN00vLmWfrQSx2wjD4z,62,174200,0.126,0.53,1,0.104,7,0.696,-8.562,0.824,0.0,0.463,81.35
Don't Touch My Hair,A Seat at the Table,3Yko2SxDk4hc6fncIBQlcM,Solange,2auiVi8sUZo17dLy1HwrTU,2TyCAfhwu5tRqFW8VnGMIL,61,257546,0.0557,0.397,1,0.649,0,0.823,-7.061,0.409,0.00135,0.411,90.997
She's Always in My Hair,The Hits / The B-Sides,3o0o5WPnqfGOeyx3UMJgvO,Prince,5a2EaR3hamoenG9rDuVn8j,5xcb3TD6lZ4X7RId59DNxo,52,207426,0.0424,0.788,0,0.0469,9,0.729,-10.157,0.0891,0.000647,0.777,92.308
No Bus,No Bus,0tBwgaezW7QUFPSlobYAqi,lophiile,5g5eVr2vAQnd12Q1XCJD7R,0a8iHqEqV1FAcRGyDTKFym,53,184647,0.251,0.615,1,0.0924,6,0.736,-5.92,0.179,0.0,0.632,89.993
Square 1,Square 1,5DbdI5sVG8NxPChnAKVPuv,Mahalia,16rCzZOMQX7P8Kmn5YKexI,10E2KfpFsiSAOkl6fteRVF,58,220306,0.0388,0.452,1,0.118,7,0.707,-5.231,0.227,0.00866,0.601,86.005
