album,album_id,artist,artist_id,duration_ms,id,name,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
VI,2blIxqyAY5WGGobD4Jr1hL,Detonautas Roque Clube,5AlUDdksfPP7l4Qm22MJA9,241400,6Cds1yaAqjemuebKt1DIKj,Por Onde Você Anda?,57,0.197,0.508,0.608,0.00297,2,0.103,-8.915,1,0.034,160.212,0.312
Amei Te Ver - EP,3jxnoPOwV9Dc0PRzhz442o,Tiago Iorc,4iWkwAVzssjb8XgxdoOL6M,254096,0bX2gnECXZJ5nt7rcIZMVM,Amei Te Ver (Acústica) - Acústica,65,0.21,0.743,0.515,0.0,0,0.137,-6.038,1,0.0319,89.98,0.396
Peu Canta Ivete,5WDe14rM6lvHcjEOXwTcBw,PEU,6kpPbpC43H8QLZkwN6D19f,243179,6lgl29Vc2xmfE0mTFRI4ip,Quando a Chuva Passar,51,0.533,0.725,0.486,0.0,4,0.095,-7.822,0,0.0384,133.966,0.115
OutroEu,0TkXnCE4W4ePll9mXmjhP4,OUTROEU,3gZAVWMzKOt1tVO4tHoGwo,258720,5df99H7yd4phkyAR9feLdf,Ai de Mim,59,0.576,0.391,0.477,0.00137,2,0.111,-7.829,1,0.0276,98.758,0.197
ANAVITÓRIA,1ENOliEGEgAf5DIupazP9t,ANAVITÓRIA,1sPg5EHuQXTMElpZ4iUgXe,205467,6bgQIw80xWC3MPZX4kVYGw,Trevo (Tu),7,0.854,0.668,0.372,0.000172,10,0.163,-8.203,1,0.0269,99.808,0.246
"Som, Flores e Poesia (Ao Vivo)",4WXJ5Bqs2rIP6tkgwOyvv9,Sabrina Lopes,70p8zOZeaAh5bskcL0dCtH,186311,3qcRxk7XZRzqul1MtfKmXN,Abre um Sorriso pra Mim - Ao Vivo,52,0.561,0.809,0.388,0.0,9,0.181,-7.569,1,0.0304,121.959,0.502
Marília Mendonça - Perfil (Ao Vivo),6JFSCrp4FNZhVZmrDpEZi5,Marília Mendonça,1yR65psqiazQpeM79CcGh8,149995,37erXXnh4mlWE7mdO6EYOp,Ausência - Ao Vivo | Acústico,69,0.65,0.824,0.486,0.0,5,0.135,-5.579,0,0.0458,97.94,0.82
Acústico (Ao Vivo),7mgNhvsT5RpvIoq8q2DHFI,Cássia Eller,10naVTwNjE50daQVrN0bXh,257106,6nq1UXqPzEPPIG54YMSnhn,O Segundo Sol - Ao Vivo,66,0.533,0.424,0.713,0.0,0,0.741,-7.406,1,0.049,151.281,0.461
Be Here Now,5NiF9DMkOpOmhUDyI0XYSu,Gustavo Bertoni,3SBeVI3ELQKQTEDoQ9ztq9,219133,04NQ1q92DRbxWq6lhpVVDQ,Be Here Now,58,0.837,0.57,0.219,0.0112,3,0.319,-14.433,1,0.0305,99.542,0.263
Quase Sem Querer,5v12mn6fKImJjZR9D3QZME,Roberta Campos,5CC2At3k0Xnyc5s9yHdyax,216842,0dPfujTAOWHFvAef50QvGi,Quase Sem Querer,60,0.0414,0.553,0.625,0.0011,0,0.127,-10.151,1,0.033,174.943,0.828
Seu Crime,4vziB8iNmFwqRzJH6JrkfE,Renato Enoch,6TV4EsauTqkvsZATrn2YBc,199003,1Lo81ApTuzst2GDhofo4Rf,Seu Crime,55,0.835,0.584,0.0933,0.0,8,0.33,-10.887,0,0.048,109.905,0.24
Pra Me Refazer,24l6oqlnRqFyxTBoh3phe5,Sandy,4ZfTpxwHwtot9Ps59bXAF8,215116,1NocSraHhZfASkuG2WdE5r,Pra Me Refazer,67,0.53,0.58,0.523,0.0,0,0.116,-7.362,1,0.032,139.724,0.473
Aluga-se,070l8UAuwcgrVeK1y9l4ZI,Bárbara Dias,4qQrDEahpv67oAkkD6Zx1J,125955,1i2vei4vkOOQB3ag6IMAYM,Aluga-se,53,0.805,0.445,0.267,0.0,9,0.11,-12.288,1,0.0374,96.85,0.348
Spotify Singles,5W98NMXBBTBjrAQMY9lyAZ,Anitta,7FNnA9vBm6EKceENgCGRMb,185975,31CiU58drf9xYA9VEOFDfW,Veneno - Recorded At Spotify Studios NYC,62,0.87,0.613,0.28,0.0,2,0.103,-10.689,0,0.0576,163.716,0.57
Eu não,5QthoTB9BMX2yaAt8JKRhw,Miranda,5a5Q7UmYrVvAtVtantMthJ,214880,43QzRFucjczQZI8riEGCFd,Eu não,54,0.838,0.84,0.222,5.19e-05,8,0.11,-11.563,1,0.0401,121.927,0.517
Coração de Aço (Acústico),50rscpNOveVCa06wtbjmLP,Hungria Hip Hop,0vLuOi2k62sHujIfplInlK,228470,4INRtAsUPEypzHqQS04e5p,Coração de Aço - Acústico,58,0.944,0.756,0.3,0.0,2,0.234,-11.06,0,0.0335,134.058,0.728
Se fosse tão fácil (Acústico),7JdKZ7Ve0q242f1ljpi4c9,MAR ABERTO,2PK9pWPbpzjPDM2HVR1NEO,198193,4IuWJzJRVZyyjyxcDdzpaE,Se fosse tão fácil - Acústico,64,0.842,0.509,0.139,0.0,1,0.182,-16.07,1,0.0385,95.007,0.691
Tempo Perdido (Versão Os Dias Eram Assim),7t5ScMLW7t6WIa5F1VRvNN,Tiago Iorc,4iWkwAVzssjb8XgxdoOL6M,208470,5nJNdtx7ZtkNRKiYdhb87Z,Tempo Perdido (Versão Os Dias Eram Assim),62,0.571,0.487,0.331,0.0,2,0.198,-8.005,0,0.0257,83.673,0.25
Ana Vilela Sessions,2MwxQxJrzlYkkvLnIvpwVM,Ana Vilela,66mL7YE8rG9eCu4QgM64m4,198924,64RrdeZbeiMKvhhSbWKPso,Aindas,63,0.526,0.464,0.548,0.0,0,0.0855,-7.403,1,0.0286,163.945,0.723
Morrer de Amor (Radio Version),28MoYLTP91rWXlPXEPEgxM,Jota Quest,5re6NsyXzHg6uvNimzQ3F6,209014,68HVEkBPpG11VWp7rdkYiv,Morrer de Amor - Radio Version,60,0.419,0.756,0.823,1.79e-06,7,0.757,-7.815,0,0.0274,124.987,0.884
Camisa 10 joga bola até na chuva,0tbiBipiOorOAnL7XWFbgt,Charlie Brown Jr.,1on7ZQ2pvgeQF4vmIA09x5,210493,3nI0piSOxAik2RCpHGloB7,Só os Loucos Sabem,68,0.738,0.39,0.396,0.0,7,0.0991,-8.18,1,0.0395,192.178,0.57
Digitando...,1TJCIU8XIY3rTYumsOMPtm,Nina Fernandes,3KrkRHLMHe2nzcpcvIJmDP,247816,0Qlt4n1htIvapgvePLYoym,Arroz Com Feijão,55,0.668,0.562,0.358,0.0,11,0.0787,-11.903,1,0.0284,118.079,0.379
Nois Tá Alto - Acústico,4C3o0QG8RQMxuVYYBVut6u,Mc Don Juan,7Lmrb6KcIzfkmgbtokjsAL,215340,5t9r2NifmP11xHoVa5kAVG,Amar Amei - Acústico,42,0.707,0.514,0.567,1.93e-06,1,0.102,-6.403,0,0.0528,126.952,0.264
Barão Pra Sempre,4iBQN73xgA56iyWf7DfZmK,Barão Vermelho,5zq0SGWxrmzpTSXkBEQzMj,202474,0228dbbfbyvjsjKus9KAS5,Por Você - Acústica,59,0.768,0.657,0.326,0.0,4,0.0892,-9.194,1,0.0299,132.243,0.476
Boa Sorte,4TMd1lXZv8CezMJsLILtvC,Teago Oliveira,02MYQC9MXXfOcrIwvc4dIS,218082,6fHpkPNwexBoWINqVeOrLn,Tudo Pode Ser,39,0.734,0.793,0.465,0.239,1,0.107,-10.7,0,0.0497,79.971,0.576
"Sol Lua Sol, ao Vivo em São Paulo (Ao Vivo)",21dh335o4NHy3gkFZrNJla,Saulo,0l82Lk1LX5X2qqYuPSXTuf,257282,1fC4ixhfi1eiurXafXQ4UL,Outra Vez - Ao Vivo,56,0.944,0.32,0.138,1.56e-06,2,0.718,-22.236,0,0.0635,75.575,0.456
Deixe Me Ir (Acústico),1eFFmE91zTBJQCz8YtFctr,1Kilo,6E2st8OqIaS7PU5gj95FSE,213191,2srL4DYBekshpbprS6H0mO,Deixe Me Ir - Acústico,72,0.841,0.555,0.439,0.0,7,0.106,-11.026,1,0.222,186.581,0.705
O Sol,7hFGM13M6f40r78cSfivWY,Vitor Kley,4FGcERJWMg8ENOLixwF71U,209000,3IfctMaf2sfvlSLRa42Cna,O Sol,54,0.12,0.641,0.623,0.0,6,0.104,-5.641,0,0.0256,97.532,0.65
O Tempo É Agora,0yiQu0POzXcfjEB6qBuhtj,ANAVITÓRIA,1sPg5EHuQXTMElpZ4iUgXe,220566,3bR8wBqLky6b61ROJlaBEF,"Ai, Amor",72,0.546,0.725,0.532,0.00131,4,0.0969,-10.531,1,0.0457,103.94,0.559
Porque Eu Sei Que É Amor (Acústico),4GOE1sZ3a3jIXZo9mNKrkJ,Titãs,2euX7vCVnJy3TVEGfc0RCl,203625,4uzNmF3XenjXjHQsEAXUfy,Porque Eu Sei Que É Amor - Acústico,60,0.642,0.65,0.368,1.74e-06,0,0.104,-7.397,1,0.0407,175.942,0.511
Morena (Acoustic Version),4lYDCl27Ww01WS553y9v2h,Vitor Kley,4FGcERJWMg8ENOLixwF71U,166000,5WNKIFHYww0zLmpnNheVjq,Morena (Acoustic Version),50,0.497,0.657,0.756,0.0,0,0.145,-5.773,0,0.0538,171.988,0.688
Aviões 10 Anos (Ao Vivo),5SlKuOI5lpa0XjrdRaAxn3,Aviões do Forró,4mnhyGRAuExTL4J0soT4za,202920,5e1vHMML3mVdT8iKk7Vcy6,Da Água Pro Vinho - Ao Vivo,0,0.724,0.632,0.952,0.0,7,0.349,-5.303,1,0.0968,95.569,0.885
CD Do DVD Itapebussu (Ao Vivo),5x5a829xCINsqm1LpP741t,Aviões do Forró,4mnhyGRAuExTL4J0soT4za,182741,22UBfe2C7gNp1LPDylp6Pr,Jeito De Amar (Ao Vivo),42,0.728,0.712,0.897,0.0,1,0.05,-7.861,0,0.0424,97.717,0.971
Aviões 10 Anos (Ao Vivo),3VLAKode9pIakC7mnn7PR2,Aviões do Forró,4mnhyGRAuExTL4J0soT4za,161985,0Cn7fA6HHBykniPvkWZWhj,Chão Chão Chão - Ao Vivo,39,0.659,0.82,0.943,2.65e-06,6,0.0401,-6.416,0,0.0499,93.638,0.951
Aviões do Forró - EP,7bDI9dVLx9KvUuRaDuJrMs,Aviões do Forró,4mnhyGRAuExTL4J0soT4za,184752,0XrmVlRx5aGR8alyNBJnFR,Jeito Carinhoso,36,0.443,0.532,0.811,5.06e-05,7,0.23,-5.34,0,0.0565,92.077,0.888
Pool Party do Aviões - Ao Vivo,4o856bTLWsKrGpebTEFJHk,Aviões do Forró,4mnhyGRAuExTL4J0soT4za,200040,0agqXBJ7NDjHxL65pfm9JQ,Tô Nem Aí - Ao Vivo,35,0.411,0.555,0.902,0.0,4,0.409,-4.94,1,0.14,190.06,0.51
"Aviões do Forró, Vol. 6",3iYPQPfPxFp8q4BZzYzz3w,Aviões do Forró,4mnhyGRAuExTL4J0soT4za,179973,6mujWcuD1d32di2Lt9dOVk,Chupa Que É de Uva,41,0.504,0.769,0.879,0.0,9,0.173,-5.199,0,0.0866,128.837,0.86
Aviões Do Forró - Vol. 7,1EID3dgnPExzMBwXlLkvIk,Aviões do Forró,4mnhyGRAuExTL4J0soT4za,224960,5VqBQXXGNakbyTKwEgpCe9,Dá Beijinho Que Passa,35,0.663,0.743,0.972,5.33e-06,11,0.0686,-2.595,0,0.0487,97.942,0.961
Pool Party do Aviões - Ao Vivo,4o856bTLWsKrGpebTEFJHk,Aviões do Forró,4mnhyGRAuExTL4J0soT4za,216413,6cmWAKK7wARmwDGvyrfRQo,A Tua Agenda e a Minha Vida (Eu Me Amo Tanto) - Ao Vivo,34,0.644,0.367,0.765,0.0,5,0.498,-5.649,1,0.0503,88.265,0.489
Aviões do Forró 2015 - Ep,6Bkn9HXIn3RNzDY8p32ir3,Aviões do Forró,4mnhyGRAuExTL4J0soT4za,143773,3eGW7ztny3cS50rqKMSg5Q,Seu Futuro Amor,36,0.492,0.719,0.819,0.0,5,0.108,-5.067,1,0.0528,90.008,0.719
Aviões do Forró Vol. 4,3pte49bJCJIt6lhMRkIXoD,Aviões do Forró,4mnhyGRAuExTL4J0soT4za,184087,0dXeYjwh06q1GkvJ2mD2BU,Mulher Doideira,48,0.33,0.755,0.893,0.0,9,0.225,-7.555,1,0.0567,183.73,0.963
Errejota (ao Vivo),4M7Y8n5FAOrrruH2ewe04k,Xand Avião,43DRDu6nLSeIedZ7T1A616,229175,6NfdVK721DCiPGWgaFWXQc,Gente Feliz - Ao Vivo,54,0.18,0.864,0.898,0.0,4,0.811,-3.653,1,0.0787,140.007,0.703
Errejota (ao Vivo),4M7Y8n5FAOrrruH2ewe04k,Xand Avião,43DRDu6nLSeIedZ7T1A616,201200,2q7ZzDRnNgSAfRJjihABoC,Sábado À Noite - Ao Vivo,51,0.391,0.485,0.818,0.0,10,0.328,-3.134,1,0.18,161.644,0.713
Errejota (ao Vivo),4M7Y8n5FAOrrruH2ewe04k,Xand Avião,43DRDu6nLSeIedZ7T1A616,192387,6dKm8WdlFo3ilI9M88dkqm,Nota Dez - Ao Vivo,51,0.187,0.576,0.86,0.0,10,0.359,-2.472,1,0.0874,147.81,0.906
Errejota (ao Vivo),4M7Y8n5FAOrrruH2ewe04k,Xand Avião,43DRDu6nLSeIedZ7T1A616,172783,3ePKt2yDtTfk6LQNQSrGxM,Vai Doer - Ao Vivo,58,0.23,0.786,0.787,0.0,9,0.408,-1.631,0,0.0351,128.014,0.772
Cachorro Combina com Cadela,3IojpENPX2QCfOmFYjKrsV,Priscila Senna,44F6hbmusaHQR96WFbo6Lv,211169,2yqxpK2cLG834QXakbNgmk,Cachorro Combina com Cadela,0,0.465,0.699,0.704,0.0,5,0.36,-3.019,1,0.0296,127.929,0.596
Bandeira Branca,24lP9bHLkk8mtVK5RBGwSb,Zezo,5R18GNmvBWGTfBAG0Xy8WT,168170,6IbP67eVM9yKX07tlpuE12,Bandeira Branca,24,0.221,0.843,0.641,0.0,10,0.0809,-7.279,1,0.0337,120.015,0.765
Cabeça Voando,3TPopxdHUHWg8cYmz8353J,Saia Rodada,0xcSCzG87AgHso0rLl4die,192935,2BYgRvkFO5XkxYfW56eZtL,Cabeça Voando,63,0.398,0.715,0.882,0.0,6,0.0569,-2.771,1,0.0598,160.09,0.828
Recuse Imitação,5I06ECtLjOxH6g1nypNT9X,Jonas Esticado,22jNvLBrXGKr4CcV2tw8Ag,200821,2Wepv6vA2dSCPQx3JnE87F,Recuse Imitação,49,0.464,0.49,0.945,0.0,0,0.227,-1.8,1,0.0817,159.801,0.575
"Oi Pra Farra, Tchau Pra Ex",6CBujqi8auRI5N5gIvJaWz,Pedro Luccas,6AiMnmg8lCcyzM4s0v7SlC,136896,4pFXoH9eOcITvNjONkwIoQ,"Oi Pra Farra, Tchau Pra Ex",40,0.432,0.707,0.864,0.0,0,0.147,-2.864,1,0.0403,160.098,0.961
Coração (Ao Vivo),29RATd9YUrUw7aNOfRXPWJ,Dorgival Dantas,3J4WurF5XyCy2ToWeCof5Y,200149,4uCA78TQH89pL1Ych7bkBC,Coração,45,0.865,0.417,0.343,1.43e-06,9,0.537,-8.442,1,0.0296,79.78,0.14
Manual (Ao Vivo),5VSsJESUZVlsQhwRSl7HYj,Romim Mata,3LdMr2Epou57a1OQvjPBYt,177720,7joFLSw24feq71wl3MgGLl,Manual - Ao Vivo,41,0.516,0.639,0.855,1.79e-05,2,0.455,-4.335,0,0.0395,157.022,0.88
Quanto Custa?,3Do0Fthfj6WHjV5ykQnKJ8,Dorgival Dantas,3J4WurF5XyCy2ToWeCof5Y,261248,7mF0Ut2Dydj7s0lsNh4ulo,Quanto Custa?,52,0.536,0.436,0.89,1.06e-05,4,0.555,-5.079,1,0.0764,164.029,0.792
De Sol a Sol,570qsidsF08fDfszUeopkw,Giannini Alencar,4GlZy8y7h6pNDXGXAAUVoD,156842,3rAJSpFnmho5vWE3L6P5aV,E Aí Tá Legal,42,0.555,0.525,0.854,0.0,8,0.106,-4.202,1,0.0416,157.364,0.851
EP do Esticado,2W5RTUgb6y3IrpJsf7l6JG,Jonas Esticado,22jNvLBrXGKr4CcV2tw8Ag,176734,76NzI3TmJCAvw28nB3EGk2,Contrário,54,0.493,0.64,0.741,0.0,0,0.378,-6.386,1,0.048,160.092,0.949
Menina de Ouro,11FOpJE4Q1KwYX3PbfzFg3,Luan Estilizado,1tGLEVy901arulIovZtdLc,164170,7KYe6Be5vPXY5gbqneqxu9,Menina de Ouro,44,0.368,0.748,0.676,0.0,11,0.213,-5.73,1,0.0669,112.908,0.782
"JM Live Manaus, Ep. 1",0wyb0zCEgShU7UEX2Zz9h1,JM Puxado,7fU19xnm8yVl18ZA94eiSH,192032,6DNFcqb92y0cm1pIMVJPoz,É Tarde Demais - Live,40,0.171,0.7,0.833,0.000111,4,0.17,-6.451,1,0.0443,97.982,0.691
Wallas Arrais de Boa (Ao Vivo),1yVXOhKs8oJnDYAcpCwMLA,Wallas Arrais,33GsYMJgWMgIt4vbhUwTEe,218133,6TiLMwuQA1nIHML3TZPMAg,Eu Não Vou - Ao Vivo,46,0.572,0.654,0.739,0.0,9,0.362,-8.881,1,0.0452,158.035,0.839
À Vontade,6afrnMQFnO6nY5GuGYZcgP,Gabriel Diniz,3WQ1s2QFvL6crxBvrVhwzj,155943,0LV4Y8u3zRtqqOYYQrYQqX,7 Chaves,54,0.283,0.426,0.876,0.0,0,0.29,-3.992,0,0.0344,160.041,0.896
Garota Vip Rio De Janeiro (Ao Vivo),5QgnH5cBOdvtOA5YT7C1L7,Wesley Safadão,1AL2GKpmRrKXkYIcASuRFa,153367,4rf0H3SO3s3sqV70gz0jxH,Raparigueiro da Roça - Ao Vivo,56,0.0383,0.547,0.936,0.0,2,0.0765,-4.868,1,0.0704,183.921,0.826
Garota Vip Rio De Janeiro (Ao Vivo),5QgnH5cBOdvtOA5YT7C1L7,Wesley Safadão,1AL2GKpmRrKXkYIcASuRFa,202586,5Z4zYY5DcXmbhJjAboYA3I,Saudade Teimosa - Ao Vivo,57,0.0396,0.579,0.873,0.0,4,0.386,-5.459,0,0.0965,91.986,0.397
Sou Vaqueiro,6L32GPv85jEFPcluQWwq6c,Geninho Batalha,15SyhDPNmqFk7jv01NW1te,147835,1nS10uuyn6M1mpRITxKCEb,Vaqueiro da Zona Rural,55,0.381,0.71,0.912,1.01e-06,5,0.0893,-2.767,1,0.033,159.977,0.948
Razão VS Orgulho (feat. Wesley Safadão),6ucJpnyPy9jySFDcfIn83z,Henry Freitas,6wduHvHCH5QZtWs6ULilDM,170666,1qig5zis3g9ngvRrZsMYOy,Razão VS Orgulho (feat. Wesley Safadão),46,0.359,0.634,0.84,0.0,0,0.357,-2.91,1,0.0409,160.141,0.851
Você Chegou,3kdnJm5VCNRHgwPQsftimx,Pedrinho Pegação,1gIUJHUm50CJDBoM6IEDWc,154128,2R9xjApm7t2NekNKfuke9i,Você Chegou,44,0.318,0.618,0.813,0.0,4,0.211,-4.382,0,0.0466,160.012,0.524
Seu Coração Tá Louco,2vbVt68uoHf50xZYyNH0vi,Felipão,29fHZcTMW9pUzhTF4Deu0j,165122,2ZkVJQSnS82mOzOOndgV9B,Seu Coração Tá Louco,47,0.592,0.677,0.927,0.0,7,0.828,-2.184,0,0.109,164.897,0.655
Amor de Mentira,5byHHSpghEbQiFwAH6lBfQ,Calcinha Preta,6Kps94g1Npexh3LrinIOvC,157300,2gAjv9SiCBh19BvHyflu9I,Amor de Mentira,47,0.109,0.611,0.883,0.0,8,0.268,-2.832,0,0.0394,74.967,0.862
Nenhum Bilhete,319fsklYIgri08Thvgq0GY,JM Puxado,7fU19xnm8yVl18ZA94eiSH,194112,3g4yw4qXcAMuftfc5iZoT7,Nenhum Bilhete,44,0.457,0.652,0.966,6.62e-06,7,0.204,-4.566,1,0.039,100.99,0.929
Parceira pra Vida (Ao Vivo),3hjydXKumAAsUED06B3yWT,Guga Playboy,7vr1gZVRxCrOrb0TGPwRlK,177984,3kUYR3UgvvXp0MGhmasfY3,Parceira pra Vida - Ao Vivo,44,0.479,0.728,0.894,0.0,9,0.238,-4.903,1,0.194,158.037,0.866
Debaixo do Cobertor,6XaigTl6gbMu6VrsngFlLP,Henry Freitas,6wduHvHCH5QZtWs6ULilDM,153138,6TIlcLIgWzBPG3hjChxCbp,Debaixo do Cobertor,47,0.363,0.694,0.868,0.000889,9,0.0806,-3.784,1,0.0473,159.996,0.971
Naturalmente,7bDfs6Kve80q3rNgBJ0vff,Avine Vinny,4KDxYlnGZEiS60pAnfZf4W,201124,1TWZd9SZvhMsQpX5StjY0v,Boa Sorte Aí,55,0.208,0.656,0.818,0.0,7,0.539,-5.389,1,0.0426,147.935,0.496
À Vontade,6afrnMQFnO6nY5GuGYZcgP,Gabriel Diniz,3WQ1s2QFvL6crxBvrVhwzj,170423,3l8hqiBze1NeW8VyP8zzbZ,Aquilo Que Nunca Me Deu,59,0.315,0.593,0.921,1.59e-06,9,0.37,-3.745,0,0.0423,154.79,0.779
Revigora,4RU1chnQhjymYv1Z0hiroR,Saia Rodada,0xcSCzG87AgHso0rLl4die,162295,5mxeiHOCvoaXNRa9yCn9ej,Decide Aí,56,0.492,0.665,0.913,0.0,5,0.273,-1.951,1,0.0713,159.759,0.792
Garota Vip Rio De Janeiro (Ao Vivo),5QgnH5cBOdvtOA5YT7C1L7,Wesley Safadão,1AL2GKpmRrKXkYIcASuRFa,166503,2YbgOQLYBa3MxoOoIt5FzL,Maria Santinha - Ao Vivo,62,0.0452,0.69,0.909,0.0,7,0.324,-4.572,1,0.0412,149.983,0.929
Garota Vip Rio De Janeiro (Ao Vivo),5QgnH5cBOdvtOA5YT7C1L7,Wesley Safadão,1AL2GKpmRrKXkYIcASuRFa,172590,0NLrH4f02eVXDhWG9wm6M1,Maior Volta por Cima - Ao Vivo,62,0.0559,0.707,0.789,0.0,5,0.0729,-3.787,1,0.0454,127.949,0.917
Naturalmente,7bDfs6Kve80q3rNgBJ0vff,Avine Vinny,4KDxYlnGZEiS60pAnfZf4W,169074,5gUnTjFxRczbKoy7UY2fai,Só Deu Você (feat. Xand Avião),58,0.286,0.749,0.822,0.0,5,0.449,-5.387,1,0.041,129.982,0.715
